apl,LSDP|2016_LRS,LSDP|2019_EP,LSDP|2020_LRS,LSDP|2024_EP,LSDP|2024_LRS,LSDP|summary,TS-LKD|2016_LRS,TS-LKD|2019_EP,TS-LKD|2020_LRS,TS-LKD|2024_EP,TS-LKD|2024_LRS,TS-LKD|summary,LVŽS|2016_LRS,LVŽS|2019_EP,LVŽS|2020_LRS,LVŽS|2024_EP,LVŽS|2024_LRS,LVŽS|summary,LRP|2016_LRS,LRP|2019_EP,LRP|2020_LRS,LRP|2024_EP,LRP|2024_LRS,LRP|summary,LS|2016_LRS,LS|2019_EP,LS|2020_LRS,LS|2024_EP,LS|2024_LRS,LS|summary,DSVL|2016_LRS,DSVL|2019_EP,DSVL|2020_LRS,DSVL|2024_EP,DSVL|2024_LRS,DSVL|summary,LP|2016_LRS,LP|2019_EP,LP|2020_LRS,LP|2024_EP,LP|2024_LRS,LP|summary,LT|2016_LRS,LT|2019_EP,LT|2020_LRS,LT|2024_EP,LT|2024_LRS,LT|summary,LLRA-KŠS|2016_LRS,LLRA-KŠS|2019_EP,LLRA-KŠS|2020_LRS,LLRA-KŠS|2024_EP,LLRA-KŠS|2024_LRS,LLRA-KŠS|summary,DP|2016_LRS,DP|2019_EP,DP|2020_LRS,DP|2024_EP,DP|2024_LRS,DP|summary,TTS|2016_LRS,TTS|2019_EP,TTS|2020_LRS,TTS|2024_EP,TTS|2024_LRS,TTS|summary,NS|2016_LRS,NS|2019_EP,NS|2020_LRS,NS|2024_EP,NS|2024_LRS,NS|summary,LŽP|2016_LRS,LŽP|2019_EP,LŽP|2020_LRS,LŽP|2024_EP,LŽP|2024_LRS,LŽP|summary,LLP|2016_LRS,LLP|2019_EP,LLP|2020_LRS,LLP|2024_EP,LLP|2024_LRS,LLP|summary,TK|2016_LRS,TK|2019_EP,TK|2020_LRS,TK|2024_EP,TK|2024_LRS,TK|summary,NA|2016_LRS,NA|2019_EP,NA|2020_LRS,NA|2024_EP,NA|2024_LRS,NA|summary,TURNOUT|2016_LRS,TURNOUT|2019_EP,TURNOUT|2020_LRS,TURNOUT|2024_EP,TURNOUT|2024_LRS,TURNOUT|summary,VOTERS|2016_LRS,VOTERS|2019_EP,VOTERS|2020_LRS,VOTERS|2024_EP,VOTERS|2024_LRS,VOTERS|summary,lrecon|2016_LRS,lrecon|2019_EP,lrecon|2020_LRS,lrecon|2024_EP,lrecon|2024_LRS,lrecon|summary,galtan|2016_LRS,galtan|2019_EP,galtan|2020_LRS,galtan|2024_EP,galtan|2024_LRS,galtan|summary
58:12:vievio,12.71,14.04,6.05,19.9,21.15,16.31,19.97,12.29,18.09,15.36,10.72,13.91,19.47,15.72,21.51,6.14,4.93,11.18,,2.62,3.0,5.28,1.95,2.9,12.7,7.86,14.26,10.69,9.8,10.69,,,,13.51,23.04,20.16,,,9.23,3.56,3.27,4.77,10.2,4.52,1.2,1.35,0.34,2.23,2.67,2.53,1.5,2.09,1.09,1.71,8.61,14.26,16.9,1.72,2.52,7.44,6.7,6.91,2.82,7.37,1.72,4.18,,2.45,1.68,3.07,1.89,2.17,2.45,2.21,1.26,3.56,1.03,1.83,1.16,,0.24,,2.52,1.72,,,,4.05,2.52,2.98,,,,,14.04,14.04,45.66,54.34,46.45,23.55,51.18,45.63,3756.71,3637.47,3731.0,3529.0,3515.0,3597.68,0.11,-0.31,-0.33,-0.65,-0.55,-0.43,-0.21,0.15,-0.07,0.1,0.43,0.18
59:3:sodų,18.95,16.87,7.28,22.34,24.32,19.29,20.75,16.77,22.19,21.48,14.53,18.09,19.67,13.72,19.76,8.24,4.62,10.77,,2.37,4.3,5.21,1.24,2.84,11.25,11.34,10.15,8.89,10.59,10.38,,,,8.89,14.3,12.54,,,15.23,6.07,3.94,7.1,5.94,3.96,1.1,0.87,0.68,1.8,2.47,2.15,1.32,1.3,0.34,1.18,4.7,10.18,10.26,1.3,2.36,5.01,7.8,6.12,1.66,5.64,1.58,3.65,,2.27,2.76,3.69,1.8,2.45,1.81,2.01,1.32,1.08,1.01,1.31,0.66,,0.33,,2.7,1.78,,,,3.04,2.36,2.58,,,,,15.99,15.99,50.68,56.5,48.11,27.3,53.42,47.87,2434.24,2317.56,1956.0,1747.0,1726.0,1930.07,0.06,-0.26,-0.29,-0.58,-0.44,-0.36,-0.23,0.07,-0.16,0.14,0.36,0.13
27:5:mkčiurlionio,15.94,17.06,8.08,13.91,17.14,14.81,21.23,18.09,26.11,23.98,21.95,22.38,30.98,16.27,25.98,14.39,11.34,17.22,,1.96,2.96,5.04,1.11,2.44,10.77,9.79,8.88,7.19,8.75,8.85,,,,7.43,8.75,8.32,,,8.21,6.95,3.45,5.46,5.32,2.63,1.75,1.92,0.37,1.75,0.25,0.37,0.4,0.0,0.12,0.2,2.38,9.95,8.61,1.2,0.99,3.93,7.91,5.69,2.29,4.08,0.74,3.13,,3.93,1.35,3.84,3.21,3.1,2.33,1.88,1.48,3.84,1.23,1.97,0.65,,0.13,,2.1,1.35,,,,4.32,0.99,2.09,,,,,18.74,18.74,58.11,58.85,51.68,28.99,55.59,50.7,1487.62,1465.83,1484.0,1473.0,1477.0,1476.77,0.04,-0.28,-0.49,-0.47,-0.36,-0.35,-0.16,0.06,0.03,0.3,0.55,0.26
59:14:jagėlonių,22.17,21.01,18.4,22.0,36.17,26.55,5.57,7.54,4.8,6.0,7.09,6.44,27.92,24.95,17.6,15.0,6.38,14.76,,1.39,16.0,21.0,9.22,12.1,4.55,4.16,5.6,5.0,5.67,5.17,,,,1.0,6.38,4.22,,,11.2,13.0,5.67,9.12,22.55,3.99,3.2,0.0,0.71,3.05,0.84,0.67,0.8,1.0,0.0,0.54,6.85,20.75,14.4,2.0,0.0,6.48,2.69,5.28,2.4,12.0,3.55,5.69,,0.1,2.4,1.0,0.71,0.95,1.77,1.39,0.8,0.0,1.42,1.0,0.85,,0.0,,1.42,0.99,,,,1.0,0.0,0.4,,,,,15.6,15.6,42.83,59.0,42.86,37.92,53.21,48.05,302.69,296.36,294.0,269.0,265.0,278.13,-0.12,-0.39,-0.48,-0.64,-0.62,-0.53,-0.17,0.07,-0.18,0.03,0.21,0.06
59:4:versmės,14.1,15.41,6.49,20.77,21.27,16.98,21.33,14.75,18.46,21.28,12.62,16.14,18.32,14.03,19.02,5.38,5.42,10.35,,2.68,3.02,6.41,2.82,3.46,11.25,8.04,10.96,8.72,7.82,8.86,,,,6.41,16.58,13.75,,,18.9,8.72,3.96,8.53,6.79,4.66,1.68,0.51,0.1,1.75,4.05,3.63,3.58,3.08,0.73,2.37,5.42,11.2,10.51,1.54,1.67,5.09,8.57,6.17,1.57,7.69,1.25,3.75,,2.02,1.9,2.31,2.4,2.22,3.22,2.07,0.89,2.56,1.56,1.82,0.88,,0.0,,4.59,2.91,,,,3.33,1.67,2.13,,,,,17.21,17.21,41.6,49.74,43.81,20.63,50.41,43.61,2380.75,2234.94,2107.0,1944.0,1940.0,2055.7,0.1,-0.35,-0.2,-0.51,-0.53,-0.38,-0.21,0.15,-0.25,0.03,0.47,0.16
27:8:vijolių,16.07,17.52,8.45,15.99,18.14,15.73,20.9,14.61,22.27,19.68,14.59,17.49,32.58,16.31,25.55,15.47,11.39,17.36,,1.51,3.58,5.62,0.91,2.52,9.95,11.73,10.44,8.08,8.66,9.46,,,,7.38,11.76,10.32,,,10.04,7.03,4.56,6.47,4.4,2.63,1.39,0.7,0.27,1.29,0.01,0.37,0.2,0.0,0.09,0.13,3.65,8.89,7.55,0.35,2.46,4.06,7.5,6.69,3.38,6.68,1.19,4.04,,2.05,1.59,3.51,2.28,2.36,2.36,2.25,2.09,3.51,1.37,2.13,1.42,,0.2,,1.91,1.38,,,,3.69,2.46,2.86,,,,,20.42,20.42,47.17,50.68,45.66,25.96,50.02,44.53,2301.66,2291.08,2315.0,2223.0,2221.0,2256.19,0.01,-0.33,-0.43,-0.54,-0.45,-0.4,-0.12,0.05,-0.05,0.26,0.52,0.24
59:13:gilučių,18.01,13.29,9.23,26.45,22.61,19.12,15.35,10.89,13.33,8.26,9.55,10.68,42.15,27.85,28.21,17.36,8.04,19.71,,4.48,6.15,9.09,3.52,5.49,2.23,6.32,13.85,8.26,8.04,8.4,,,,9.92,15.58,13.51,,,8.21,2.48,1.01,3.17,5.3,2.73,1.54,0.0,0.0,1.16,3.13,0.03,1.03,0.0,0.0,0.46,3.74,10.0,10.77,1.65,1.01,4.57,3.2,5.84,2.05,9.92,3.52,4.92,,0.05,1.54,0.83,1.01,0.91,2.13,4.93,1.54,3.31,3.02,3.03,0.01,,0.51,,3.02,1.89,,,,2.48,1.01,1.55,,,,,20.1,20.1,47.46,54.04,50.99,30.79,50.37,46.68,431.76,429.56,406.0,406.0,407.0,412.21,-0.14,-0.39,-0.38,-0.86,-0.64,-0.56,-0.04,0.27,-0.05,0.07,0.49,0.22
59:7:beižionių,16.73,9.55,10.19,21.35,34.39,22.41,12.32,8.74,10.19,15.73,8.28,10.65,20.08,33.85,28.03,10.11,8.92,16.84,,1.52,7.64,7.87,2.55,4.72,15.75,7.29,13.38,8.99,8.28,9.86,,,,11.24,9.55,10.16,,,8.92,0.0,3.18,3.68,13.26,5.78,1.91,2.25,1.27,3.11,0.72,1.44,0.64,0.0,0.0,0.36,10.48,13.7,13.38,3.37,0.0,5.83,4.65,5.06,0.64,8.99,2.55,4.08,,0.03,0.0,4.49,2.55,2.14,1.35,5.03,2.55,3.37,3.18,3.2,0.04,,0.64,,3.82,2.45,,,,1.12,0.0,0.41,,,,,11.46,11.46,52.15,54.15,63.92,39.09,64.92,56.71,297.54,277.42,255.0,243.0,248.0,255.8,0.08,-0.24,-0.35,-0.69,-0.62,-0.48,-0.26,0.28,-0.11,0.19,0.3,0.15
58:9:kazokiškių,8.28,10.34,10.91,21.88,23.03,17.15,14.0,14.21,18.79,15.63,11.84,14.48,25.01,22.94,24.24,11.46,9.21,16.12,,0.75,0.61,6.25,1.97,2.45,14.9,13.91,14.55,9.38,11.18,12.22,,,,12.5,19.74,17.11,,,6.67,3.13,2.63,3.77,7.76,4.1,0.61,0.0,0.0,1.5,1.44,1.36,1.82,0.0,0.66,0.92,21.3,13.02,14.55,2.08,0.0,7.2,3.63,4.82,1.21,11.46,1.97,4.38,,2.37,0.61,3.13,0.0,1.25,2.3,4.05,1.82,2.08,0.66,1.86,0.11,,0.61,,1.32,0.93,,,,1.04,0.0,0.38,,,,,15.79,15.79,45.32,47.9,43.91,25.8,42.51,40.47,477.58,446.94,394.0,376.0,374.0,399.51,0.1,-0.08,-0.46,-0.71,-0.53,-0.42,-0.18,0.26,-0.09,0.13,0.42,0.18
17:111:nemuno,13.49,12.94,8.41,14.31,15.65,13.5,27.62,22.93,30.79,23.46,20.81,24.02,21.7,13.9,19.06,10.65,6.84,12.14,,2.28,3.03,5.32,2.53,3.19,7.33,6.98,6.94,3.99,9.47,7.36,,,,3.99,7.69,6.42,,,10.07,8.82,5.9,7.64,6.42,3.53,0.59,1.0,0.47,1.59,1.13,0.95,0.59,0.83,0.0,0.52,4.1,7.84,7.72,1.83,3.56,4.66,7.84,6.48,1.76,6.66,1.69,3.97,,5.16,2.44,5.66,4.59,4.51,3.27,2.07,2.83,6.32,3.19,3.58,3.5,,0.2,,3.0,2.3,,,,5.66,3.56,4.28,,,,,14.62,14.62,49.88,57.25,51.0,30.55,55.07,49.35,2100.52,2058.73,2053.0,2000.0,1972.0,2016.51,0.07,-0.31,-0.52,-0.42,-0.27,-0.32,-0.07,0.19,-0.04,0.2,0.42,0.22
59:15:kietaviškių,20.34,16.76,8.05,29.61,27.06,21.45,16.11,13.58,15.58,16.02,9.18,12.78,26.43,13.59,20.26,8.74,4.47,11.62,,3.27,3.38,7.77,2.59,3.72,10.07,7.7,15.84,10.19,13.88,12.31,,,,6.8,16.0,13.53,,,18.44,4.85,4.0,7.89,6.19,7.23,1.04,0.97,0.94,2.51,0.03,0.49,0.0,0.49,0.0,0.16,6.88,14.63,10.65,0.49,1.41,5.79,7.61,3.1,2.86,8.74,1.88,3.79,,1.64,0.26,0.97,1.18,1.04,3.81,1.89,1.56,1.46,0.47,1.36,0.56,,0.52,,1.41,1.05,,,,2.43,1.41,1.68,,,,,15.53,15.53,43.42,53.56,46.79,19.18,49.25,44.57,873.09,850.06,857.0,876.0,869.0,864.85,-0.01,-0.28,-0.13,-0.7,-0.44,-0.35,-0.24,0.03,-0.37,-0.06,0.26,0.01
17:97:girstučio,11.85,10.65,6.68,15.11,17.16,13.35,29.51,28.84,32.52,25.24,22.46,26.48,25.71,11.9,19.71,10.13,9.59,13.29,,1.69,2.0,3.25,1.58,2.05,9.5,5.79,7.8,4.97,8.35,7.24,,,,4.78,10.27,8.32,,,9.02,8.03,3.5,6.03,6.07,3.59,0.89,0.38,0.11,1.41,0.48,0.41,0.78,1.34,0.23,0.6,3.68,6.58,7.02,0.76,1.35,3.31,7.17,7.36,3.01,5.35,1.35,3.97,,4.73,2.9,6.88,5.3,5.08,2.68,2.45,2.67,8.6,2.71,3.85,1.01,,0.0,,1.58,1.06,,,,4.02,1.35,2.3,,,,,14.45,14.45,50.19,59.84,49.33,30.21,51.5,48.09,2175.84,2038.75,1938.0,1784.0,1763.0,1880.8,0.12,-0.25,-0.51,-0.43,-0.38,-0.35,-0.1,0.16,0.01,0.17,0.52,0.24
58:11:semeliškių,23.73,18.02,11.54,23.68,29.79,22.61,13.12,13.83,15.21,12.28,9.73,12.28,19.47,17.08,22.3,7.02,9.42,13.47,,3.73,4.2,8.77,1.52,4.18,8.32,8.81,10.21,7.46,10.03,9.15,,,,10.53,16.41,14.15,,,9.96,5.7,4.86,6.37,14.32,3.39,0.78,0.88,0.0,2.21,2.06,1.39,1.58,1.75,1.82,1.71,6.84,10.09,11.32,3.07,1.82,5.66,4.15,4.6,2.37,9.65,0.61,3.86,,3.28,2.11,2.19,0.61,1.77,3.56,3.63,2.64,2.63,1.22,2.4,1.29,,1.31,,2.43,1.93,,,,3.51,1.82,2.47,,,,,9.73,9.73,42.0,47.46,42.19,26.02,39.19,38.53,593.12,548.38,535.45,880.0,865.0,730.37,-0.03,-0.33,-0.45,-0.7,-0.55,-0.48,-0.29,0.06,-0.06,-0.0,0.3,0.07
60:9:ateities,31.48,25.33,16.97,27.46,34.76,28.47,22.1,17.48,23.12,17.1,14.96,17.89,18.41,12.34,18.32,11.66,6.55,11.64,,4.1,9.91,4.15,1.71,4.24,8.8,4.5,4.5,5.44,5.13,5.34,,,,4.92,5.27,5.15,,,5.26,5.44,2.14,3.73,5.44,2.68,0.9,1.55,0.28,1.49,0.27,1.1,0.75,1.04,0.0,0.53,3.35,10.66,11.71,2.33,3.13,5.62,6.11,5.25,2.4,8.29,1.57,4.02,,3.09,2.1,3.89,2.71,2.91,1.36,1.28,0.75,1.81,0.71,1.08,0.77,,0.45,,3.13,2.06,,,,2.59,3.13,2.95,,,,,17.95,17.95,50.24,48.17,46.15,27.08,49.66,44.43,1637.58,1579.38,1493.0,1466.0,1450.0,1497.82,-0.02,-0.51,-0.71,-0.67,-0.62,-0.57,-0.26,0.0,-0.0,0.14,0.39,0.15
59:1:draugystės,19.74,15.28,7.13,24.22,23.78,19.05,19.36,13.96,17.26,15.7,10.37,14.01,21.67,14.57,18.49,9.19,6.06,11.74,,2.46,5.12,8.97,3.73,4.82,9.96,7.78,9.91,7.85,8.86,8.8,,,,5.83,13.52,11.05,,,13.14,6.5,3.5,6.6,5.89,4.31,0.89,0.22,0.35,1.59,2.38,3.19,2.0,2.02,0.7,1.74,5.47,13.3,15.48,2.47,3.73,7.38,8.91,6.57,4.12,6.05,2.1,4.54,,2.04,1.89,3.59,1.75,2.2,2.02,2.11,1.22,1.12,1.05,1.36,0.74,,0.0,,3.38,2.06,,,,5.61,3.73,4.33,,,,,17.13,17.13,46.0,51.5,45.23,23.58,47.08,43.14,2401.44,2296.36,2076.0,1951.0,1903.0,2053.98,0.02,-0.35,-0.36,-0.64,-0.53,-0.44,-0.2,0.16,-0.09,0.09,0.41,0.16
